Date,Close,Return,Direction,vader_neg,vader_neu,vader_pos,vader_compound,n_posts,return_lag_1,return_lag_2,return_lag_3,vader_compound_lag_1,vader_compound_lag_2,vader_compound_lag_3,vader_compound_rolling_3,vader_compound_rolling_7,n_posts_log,return_rolling_3,return_rolling_7,volatility_7
2022-01-01,47686.8125,2.9809396471367267,0,0.0388,0.8681,0.0931,0.0849,453,-1.8476352917798256,1.579112126431248,-2.404227880624954,0.0707,0.079,0.0627,0.07820000000000003,0.07352857142857143,6.118097198041348,0.9041388272627161,-0.7568172616250786,2.987579015556875
2022-01-02,47345.21875,-0.7163274962024402,0,0.0439,0.8787,0.0711,0.0532,472,2.9809396471367267,-1.8476352917798256,1.579112126431248,0.0849,0.0707,0.079,0.06960000000000001,0.07075714285714287,6.159095388491933,0.13899228638482,-0.9666983598988969,2.9145609592746333
2022-01-03,46458.1171875,-1.87368774698079,0,0.0356,0.8577,0.1066,0.0983,764,-0.7163274962024402,2.9809396471367267,-1.8476352917798256,0.0532,0.0849,0.0707,0.07880000000000002,0.07205714285714285,6.639875833826536,0.1303081346511652,-1.1868241720159527,2.916893823652647
2022-01-04,45897.57421875,-1.2065555013512697,0,0.0353,0.8699,0.0948,0.0907,816,-1.87368774698079,-0.7163274962024402,2.9809396471367267,0.0983,0.0532,0.0849,0.08073333333333334,0.07707142857142857,6.705639094860003,-1.2655235815115002,-0.4983403061959019,2.0130768228636513
2022-01-05,43569.00390625,-5.073406061509756,0,0.0395,0.8724,0.086,0.0713,928,-1.2065555013512697,-1.87368774698079,-0.7163274962024402,0.0907,0.0983,0.0532,0.0867666666666667,0.07830000000000001,6.834108738813838,-2.7178831032806055,-0.8796514748937307,2.6011504357358053
2022-01-06,43160.9296875,-0.9366159015892994,0,0.0431,0.8751,0.08,0.0578,1057,-5.073406061509756,-1.2065555013512697,-1.87368774698079,0.0713,0.0907,0.0983,0.07326666666666669,0.07527142857142857,6.964135612418245,-2.4055258214834416,-1.2390411931823804,2.3681744462559635
2022-01-07,41557.90234375,-3.714070469186992,1,0.0372,0.8782,0.0837,0.0618,1160,-0.9366159015892994,-5.073406061509756,-1.2065555013512697,0.0578,0.0713,0.0907,0.06363333333333335,0.074,7.057036981697891,-3.2413641440953493,-1.5056747899548328,2.5464756711690772
2022-01-08,41733.94140625,0.4235994902819673,1,0.0481,0.863,0.085,0.0531,516,-3.714070469186992,-0.9366159015892994,-5.073406061509756,0.0618,0.0578,0.0713,0.05756666666666668,0.06945714285714286,6.248042874508429,-1.4090289601647747,-1.8710090980769412,1.8958435285101727
2022-01-09,41911.6015625,0.4256970472081844,0,0.0502,0.8575,0.0886,0.0619,531,0.4235994902819673,-3.714070469186992,-0.9366159015892994,0.0531,0.0618,0.0578,0.05893333333333336,0.0707,6.2766434893416445,-0.9549246438989467,-1.7078627347325663,2.0542877302745324
2022-01-10,41821.26171875,-0.215548536400556,1,0.051,0.8633,0.0857,0.0572,814,0.4256970472081844,0.4235994902819673,-3.714070469186992,0.0619,0.0531,0.0618,0.057400000000000014,0.06482857142857143,6.703188113240863,0.2112493336965319,-1.4709857046496757,2.126315949897416
2022-01-11,42735.85546875,2.1869109453241498,1,0.0494,0.87,0.0793,0.0558,805,-0.215548536400556,0.4256970472081844,0.4235994902819673,0.0572,0.0619,0.0531,0.05830000000000002,0.05984285714285714,6.692083742506628,0.7990198187105927,-0.9862047836960445,2.542718816967304
2022-01-12,43949.1015625,2.8389418684672707,0,0.0449,0.8547,0.0958,0.0684,874,2.1869109453241498,-0.215548536400556,0.4256970472081844,0.0558,0.0572,0.0619,0.06046666666666669,0.059428571428571435,6.774223886357614,1.6034347591302882,0.1441306348721023,2.151566848015046
2022-01-13,42591.5703125,-3.0888714484173407,1,0.0484,0.8593,0.0874,0.0444,805,2.8389418684672707,2.1869109453241498,-0.215548536400556,0.0684,0.0558,0.0572,0.05620000000000002,0.05751428571428572,6.692083742506628,0.6456604551246933,-0.16333444324618934,2.462992264959736
2022-01-14,43099.69921875,1.1930269358978671,1,0.0499,0.8656,0.0823,0.0456,883,-3.0888714484173407,2.8389418684672707,2.1869109453241498,0.0444,0.0684,0.0558,0.052800000000000014,0.05519999999999999,6.784457062637643,0.31436578531593234,0.5376794717659334,1.923106501000584
2022-01-15,43177.3984375,0.1802778677309158,0,0.0416,0.8553,0.1007,0.075,427,1.1930269358978671,-3.0888714484173407,2.8389418684672707,0.0456,0.0444,0.0684,0.05500000000000002,0.05832857142857143,6.059123195581797,-0.5718555482628526,0.5029192399729261,1.927705693025414
2022-01-16,43113.87890625,-0.1471129191397358,0,0.0378,0.8874,0.0748,0.0604,364,0.1802778677309158,1.1930269358978671,-3.0888714484173407,0.075,0.0456,0.0444,0.06033333333333336,0.058114285714285716,5.8998973535824915,0.4087306281630157,0.421089244780366,1.9436220885059046
2022-01-17,42250.55078125,-2.0024366790964976,1,0.0371,0.8722,0.0887,0.0692,494,-0.1471129191397358,0.1802778677309158,1.1930269358978671,0.0604,0.075,0.0456,0.06820000000000002,0.05982857142857143,6.20455776256869,-0.6564239101684392,0.16581951010951723,2.147790830705359
2022-01-18,42375.6328125,0.2960482856131374,0,0.048,0.868,0.083,0.0493,937,-2.0024366790964976,-0.1471129191397358,0.1802778677309158,0.0692,0.0604,0.075,0.05963333333333335,0.0589,6.843749949006225,-0.6178337708743653,-0.10430372699205595,1.9621168720155153
